Date,Home,Away,HG,AG,League,Season,Country,Round,Status,SourceLeagueName,SourceLeagueId
2025-10-25,FC Juarez,Puebla,4,4,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-23,Atlas,Club Leon,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-23,Pachuca,Tigres UANL,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-23,Queretaro FC,Chivas Guadalajara,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-23,Pumas U.N.A.M.,Atletico San Luis,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-23,Club Tijuana,Toluca,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-22,Monterrey,FC Juarez,4,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-22,Mazatlan FC,Santos Laguna,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-22,Necaxa,CDSyC Cruz Azul,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-22,Club America,Puebla,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-19,Chivas Guadalajara,Mazatlan FC,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-19,Monterrey,Pumas U.N.A.M.,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-19,CDSyC Cruz Azul,Club America,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-18,Toluca,Queretaro FC,4,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-18,Santos Laguna,Club Leon,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-18,FC Juarez,Pachuca,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-18,Tigres UANL,Necaxa,5,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-18,Atletico San Luis,Atlas,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-18,Puebla,Club Tijuana,4,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-06,Club Tijuana,Monterrey,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-06,Pumas U.N.A.M.,Chivas Guadalajara,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-05,Tigres UANL,CDSyC Cruz Azul,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-05,Club Leon,Toluca,2,4,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-05,Club America,Santos Laguna,3,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-04,Queretaro FC,Puebla,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-04,Atlas,FC Juarez,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-04,Mazatlan FC,Atletico San Luis,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-10-04,Necaxa,Pachuca,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-29,Club Tijuana,CDSyC Cruz Azul,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-28,Club America,Pumas U.N.A.M.,4,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-28,Toluca,Mazatlan FC,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-28,Monterrey,Santos Laguna,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-28,Queretaro FC,Tigres UANL,0,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-27,Pachuca,Atletico San Luis,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-27,Atlas,Necaxa,3,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-27,Puebla,Chivas Guadalajara,0,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-27,FC Juarez,Club Leon,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-25,Santos Laguna,Club Tijuana,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-25,Atletico San Luis,Club America,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-25,Toluca,Monterrey,6,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-25,Tigres UANL,Atlas,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-25,CDSyC Cruz Azul,Queretaro FC,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-24,Puebla,Pachuca,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-24,Chivas Guadalajara,Necaxa,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-24,FC Juarez,Pumas U.N.A.M.,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-24,Club Leon,Mazatlan FC,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2025-09-21,Santos Laguna,Atletico San Luis,1,4,Liga MX,2025,,,FT,Primera Division Liga MX,10415
